CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
20837,No,No Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,8
20845,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20857,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20867,No,Moderate Priority,Slight Priority,No Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,8
20872,No,Moderate Priority,Slight Priority,No Priority,No Priority,No Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20873,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20876,No,High Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
20878,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20881,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
20884,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20886,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,Slight Priority,No Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,8
20895,No,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20898,No,9,Very High Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20901,No,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority
20914,No,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20915,No,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,8
20922,No,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
20923,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20935,Yes,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,8
20936,No,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority
20941,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
20943,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20958,No,High Priority,High Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20960,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,8
20970,No,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,No Priority,Slight Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,8
20973,No,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20979,No,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20981,No,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20985,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,No Priority,Very High Priority,8
20997,Yes,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20999,No,No Priority,No Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Slight Priority,No Priority,No Priority,8
21005,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,8
21007,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Very High Priority,Slight Priority,8
21017,No,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
21027,No,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
21031,No,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Slight Priority,High Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,No Priority,Moderate Priority,Moderate Priority,8
21032,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Very High Priority
21034,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,8
21038,Yes,Very High Priority,9,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,8
21049,Yes,9,Moderate Priority,9,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,Moderate Priority,Moderate Priority,Very High Priority
21050,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Slight Priority,8
21052,No,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
21056,No,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
21058,Yes,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
21063,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
21079,No,Moderate Priority,High Priority,No Priority,No Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
